Date,Sold Cupcakes
2022-01-01,120
2022-01-08,135
2022-01-15,110
2022-01-22,90
2022-01-29,140
2022-02-05,200
2022-02-12,150
2022-02-19,160
2022-02-26,170
2022-03-05,180
2022-03-12,190
2022-03-19,210
2022-03-26,190
2022-04-02,175
2022-04-09,160
2022-04-16,155
2022-04-23,145
2022-04-30,150
2022-05-07,180
2022-05-14,170
2022-05-21,165
2022-05-28,150
2022-06-04,140
2022-06-11,130
2022-06-18,135
2022-06-25,125
2022-07-02,110
2022-07-09,120
2022-07-16,130
2022-07-23,140
2022-07-30,150
2022-08-06,155
2022-08-13,145
2022-08-20,135
2022-08-27,125
2022-09-03,160
2022-09-10,170
2022-09-17,175
2022-09-24,165
2022-10-01,155
2022-10-08,160
2022-10-15,150
2022-10-22,145
2022-10-29,135
2022-11-05,140
2022-11-12,150
2022-11-19,160
2022-11-26,170
2022-12-03,180
2022-12-10,190
2022-12-17,200
2022-12-24,220
2022-12-31,230
