Date,Cups Sold
2023-01-01,87
2023-01-02,79
2023-01-03,91
2023-01-04,104
2023-01-05,110
2023-01-06,123
2023-01-07,131
2023-01-08,98
2023-01-09,86
2023-01-10,75
2023-01-11,89
2023-01-12,95
2023-01-13,115
2023-01-14,120
2023-01-15,130
2023-01-16,85
2023-01-17,80
2023-01-18,99
2023-01-19,100
2023-01-20,121
2023-01-21,135
2023-01-22,103
2023-01-23,77
2023-01-24,74
2023-01-25,88
2023-01-26,93
2023-01-27,119
2023-01-28,125
2023-01-29,110
2023-01-30,105
2023-01-31,78
2023-02-01,82
2023-02-02,94
2023-02-03,113
2023-02-04,116
2023-02-05,128
2023-02-06,83
2023-02-07,90
2023-02-08,96
2023-02-09,107
2023-02-10,112
2023-02-11,132
2023-02-12,99
2023-02-13,81
2023-02-14,85
2023-02-15,97
2023-02-16,109
2023-02-17,120
2023-02-18,130
2023-02-19,140
