Date,Data Usage (GB)
2022-01-01,10
2022-01-02,11
2022-01-03,9
2022-01-04,10
2022-01-05,10.5
2022-01-06,12
2022-01-07,11.5
2022-01-08,8
2022-01-09,7.5
2022-01-10,9.5
2022-01-11,10.3
2022-01-12,11.2
2022-01-13,12.1
2022-01-14,11.6
2022-01-15,13
2022-01-16,9
2022-01-17,8.5
2022-01-18,9.7
2022-01-19,10.1
2022-01-20,11.4
2022-01-21,12.3
2022-01-22,13.1
2022-01-23,12.5
2022-01-24,8
2022-01-25,7.3
2022-01-26,9.4
2022-01-27,10.6
2022-01-28,11.8
2022-01-29,13.5
2022-01-30,14
2022-01-31,13.2
2022-02-01,12.7
2022-02-02,11.6
2022-02-03,10.2
2022-02-04,12.1
2022-02-05,13.3
2022-02-06,14.5
2022-02-07,15.0
2022-02-08,14.8
2022-02-09,13.6
2022-02-10,12.3
2022-02-11,13.2
2022-02-12,14.1
2022-02-13,15.2
2022-02-14,16
2022-02-15,14.7
2022-02-16,13.3
2022-02-17,12.5
2022-02-18,11.1
2022-02-19,13.0
2022-02-20,14.2
2022-02-21,15.3
2022-02-22,14.6
2022-02-23,13.7
2022-02-24,12.8
2022-02-25,13.9
2022-02-26,15.1
2022-02-27,14.3
2022-02-28,13.5
