Date,Steps
2023-03-01,8745
2023-03-02,7603
2023-03-03,9825
2023-03-04,10457
2023-03-05,11345
2023-03-06,8755
2023-03-07,9356
2023-03-08,7832
2023-03-09,8560
2023-03-10,9154
2023-03-11,10234
2023-03-12,7890
2023-03-13,8730
2023-03-14,9582
2023-03-15,10298
2023-03-16,7465
2023-03-17,8935
2023-03-18,9501
2023-03-19,11040
2023-03-20,8269
2023-03-21,9021
2023-03-22,8756
2023-03-23,7893
2023-03-24,9685
2023-03-25,10376
2023-03-26,11549
2023-03-27,8300
2023-03-28,9432
2023-03-29,7523
2023-03-30,8641
2023-03-31,9176
2023-04-01,10056
2023-04-02,10678
2023-04-03,8111
2023-04-04,8320
2023-04-05,9123
2023-04-06,9976
2023-04-07,10932
2023-04-08,10459
2023-04-09,12034
2023-04-10,8352
2023-04-11,9117
2023-04-12,8914
2023-04-13,9803
2023-04-14,10394
2023-04-15,10786
2023-04-16,11289
2023-04-17,8705
2023-04-18,9300
2023-04-19,9475
