Week,Sales
Week 1,3200
Week 2,2850
Week 3,4100
Week 4,3900
Week 5,2500
Week 6,3650
Week 7,4350
Week 8,4800
Week 9,5200
Week 10,3300
Week 11,4500
Week 12,4700
Week 13,3200
Week 14,5100
Week 15,3600
Week 16,4400
Week 17,3700
Week 18,3000
Week 19,3950
Week 20,4200
Week 21,5000
Week 22,4550
Week 23,4300
Week 24,4150
Week 25,5300
Week 26,3500
Week 27,3400
Week 28,3950
Week 29,4550
Week 30,4700
Week 31,5200
Week 32,3100
Week 33,4250
Week 34,5100
Week 35,4200
Week 36,3200
Week 37,4950
Week 38,4600
Week 39,5400
Week 40,3800
Week 41,4400
Week 42,5000
Week 43,3700
Week 44,4800
Week 45,4600
Week 46,5300
Week 47,3550
Week 48,4200
Week 49,3900
Week 50,4350
Week 51,4750
Week 52,5400
