Day, Sales ($)
Monday, 1120
Tuesday, 980
Wednesday, 875
Thursday, 940
Friday, 1100
Saturday, 1500
Sunday, 1400
Monday, 1130
Tuesday, 1070
Wednesday, 900
Thursday, 985
Friday, 1010
Saturday, 1440
Sunday, 1360
Monday, 1180
Tuesday, 985
Wednesday, 845
Thursday, 920
Friday, 1090
Saturday, 1520
Sunday, 1390
Monday, 1200
Tuesday, 1030
Wednesday, 880
Thursday, 960
Friday, 1150
Saturday, 1460
Sunday, 1340
Monday, 1150
Tuesday, 990
Wednesday, 810
Thursday, 930
Friday, 1120
Saturday, 1470
Sunday, 1410
Monday, 1190
Tuesday, 1040
Wednesday, 870
Thursday, 950
Friday, 1180
Saturday, 1550
Sunday, 1370
Monday, 1210
Tuesday, 1060
Wednesday, 830
Thursday, 980
Friday, 1130
Saturday, 1490
Sunday, 1350
Monday, 1160
Tuesday, 1020
Wednesday, 890
Thursday, 975
Friday, 1080
Saturday, 1530
Sunday, 1380
Monday, 1220
Tuesday, 1050
Wednesday, 865
Thursday, 935
Friday, 1110
Saturday, 1505
Sunday, 1325
