Date,Steps
01-01-2023,5230
02-01-2023,6980
03-01-2023,7900
04-01-2023,10230
05-01-2023,3050
06-01-2023,5230
07-01-2023,8400
08-01-2023,6540
09-01-2023,7230
10-01-2023,4900
11-01-2023,8950
12-01-2023,10200
13-01-2023,7680
14-01-2023,5430
15-01-2023,11020
16-01-2023,9800
17-01-2023,6200
18-01-2023,7490
19-01-2023,8450
20-01-2023,6540
21-01-2023,5460
22-01-2023,9770
23-01-2023,6880
24-01-2023,5980
25-01-2023,7200
26-01-2023,8550
27-01-2023,9200
28-01-2023,11000
29-01-2023,10100
30-01-2023,5630
31-01-2023,4870
01-02-2023,7800
02-02-2023,8550
03-02-2023,9000
04-02-2023,7200
05-02-2023,10450
06-02-2023,3950
07-02-2023,6700
08-02-2023,8450
09-02-2023,10300
10-02-2023,6900
11-02-2023,9800
12-02-2023,8650
13-02-2023,5400
14-02-2023,7040
15-02-2023,11200
16-02-2023,4680
17-02-2023,12030
18-02-2023,9300
19-02-2023,3450
20-02-2023,7850
21-02-2023,9900
22-02-2023,7000
23-02-2023,8000
24-02-2023,10850
25-02-2023,4980
26-02-2023,7400
27-02-2023,8650
28-02-2023,9100
