""
Year,Temperature
1880,13.8
1881,13.9
1882,13.85
1883,13.8
1884,13.7
1885,13.8
1886,13.75
1887,13.9
1888,14.0
1889,14.1
1890,13.8
1891,13.9
1892,13.85
1893,13.9
1894,13.95
1895,14.0
1896,14.05
1897,14.1
1898,14.0
1899,14.05
1900,14.1
1901,14.15
1902,14.1
1903,14.0
1904,13.95
1905,14.0
1906,14.05
1907,14.0
1908,13.95
1909,14.0
1910,14.1
1911,14.05
1912,14.1
1913,14.15
1914,14.2
1915,14.25
1916,14.1
1917,14.05
1918,14.1
1919,14.1
1920,14.15
[...]
1990,14.85
1991,14.9
1992,14.8
1993,14.85
1994,14.9
1995,14.95
1996,14.9
1997,15.0
1998,15.1
1999,15.05
2000,15.1
2001,15.15
2002,15.2
2003,15.25
2004,15.3
2005,15.35
2006,15.4
2007,15.45
2008,15.4
2009,15.45
2010,15.5
2011,15.55
2012,15.6
2013,15.65
2014,15.7
2015,15.75
2016,15.8
2017,15.85
2018,15.9
2019,15.95
2020,16.0
""
