""
New York,15.2
San Francisco,18.3
Austin,20.1
Seattle,16.4
Denver,14.6
Chicago,12.1
Miami,25.7
Los Angeles,22.9
Boston,11.9
Las Vegas,27.3
Phoenix,28.4
Houston,21.6
Dallas,19.8
Orlando,24.1
Washington DC,17.2
Atlanta,22.3
Philadelphia,14.8
Detroit,10.7
San Diego,19.3
Portland,16.1
Nashville,23.5
Charlotte,18.7
Baltimore,15.9
Tampa,26.8
New Orleans,23.9
Memphis,21.4
Salt Lake City,18.0
Honolulu,27.5
Milwaukee,12.4
Cincinnati,13.6
Indianapolis,14.3
Louisville,20.9
Columbus,17.4
Kansas City,19.5
Las Vegas,27.9
Phoenix,29.1
""
