Produce Item,January,February,March,April,May,June,July,August,September,October,November,December
Apples,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Bananas,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Carrots,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes
Dates,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
Eggplants,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Figs,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
Grapes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Honeydew,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No
Kiwis,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Lemons,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Oranges,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Pumpkins,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No
