Sport,January,February,March,April,May,June,July,August,September,October,November,December
Soccer,120,130,140,150,160,170,180,190,180,170,160,150
Basketball,80,85,90,95,100,105,110,115,110,105,100,95
Tennis,60,58,62,64,66,70,72,74,70,68,65,63
Swimming,40,42,40,45,50,200,210,205,190,60,45,42
Cycling,30,32,34,100,120,130,140,135,130,100,70,60
Running,70,72,75,80,85,90,95,100,90,85,80,75
Volleyball,50,55,60,65,70,75,80,85,70,65,55,50
Baseball,0,0,0,80,90,100,110,105,100,95,0,0
Golf,20,22,24,26,30,32,34,33,31,28,25,23
Hockey,60,65,0,0,0,0,0,0,70,80,90,100
Figure Skating,30,35,40,0,0,0,0,0,40,45,50,55
Rock Climbing,10,12,14,16,18,20,22,24,20,18,15,13
