Day,Steps
2023-01-01,5000
2023-01-02,7500
2023-01-03,8000
2023-01-04,9500
2023-01-05,6000
2023-01-06,12000
2023-01-07,15000
2023-01-08,11000
2023-01-09,9500
2023-01-10,10000
2023-01-11,9000
2023-01-12,8500
2023-01-13,7000
2023-01-14,6500
2023-01-15,7500
2023-01-16,9000
2023-01-17,8000
2023-01-18,10000
2023-01-19,11000
2023-01-20,12000
2023-01-21,13000
2023-01-22,14000
2023-01-23,15000
2023-01-24,16000
2023-01-25,17000
2023-01-26,18000
2023-01-27,19000
2023-01-28,20000
2023-01-29,21000
2023-01-30,22000
2023-01-31,23000
