Week,Steps
2023-W01,8000
2023-W02,8500
2023-W03,8700
2023-W04,9000
2023-W05,9300
2023-W06,9500
2023-W07,9700
2023-W08,8000
2023-W09,8700
2023-W10,9100
2023-W11,9200
2023-W12,9400
2023-W13,9500
2023-W14,9600
2023-W15,8800
2023-W16,9200
2023-W17,9300
2023-W18,9400
2023-W19,9500
2023-W20,9600
2023-W21,9700
2023-W22,9000
2023-W23,9100
2023-W24,9200
2023-W25,9300
2023-W26,9500
2023-W27,9600
2023-W28,9700
2023-W29,9800
2023-W30,9900
2023-W31,10000
2023-W32,10100
2023-W33,10200
2023-W34,10300
2023-W35,10400
2023-W36,10500
2023-W37,10600
2023-W38,10700
2023-W39,10800
2023-W40,10900
2023-W41,11000
2023-W42,11100
2023-W43,11200
2023-W44,11300
2023-W45,11400
2023-W46,11500
2023-W47,11600
2023-W48,11700
2023-W49,11800
2023-W50,11900
2023-W51,12000
2023-W52,12100
