Date,ExerciseHours
2023-01-01,0.5
2023-01-02,1.0
2023-01-03,0.75
2023-01-04,1.5
2023-01-05,0.25
2023-01-06,0.5
2023-01-07,1.25
2023-01-08,0.75
2023-01-09,1.0
2023-01-10,2.0
2023-01-11,2.5
2023-01-12,1.25
2023-01-13,1.5
2023-01-14,2.0
2023-01-15,2.5
2023-01-16,3.0
2023-01-17,3.5
2023-01-18,2.75
2023-01-19,3.0
2023-01-20,3.5
2023-01-21,4.0
2023-01-22,3.75
2023-01-23,4.5
2023-01-24,4.75
2023-01-25,4.5
2023-01-26,4.25
2023-01-27,5.0
2023-01-28,5.5
2023-01-29,6.0
2023-01-30,6.5
2023-01-31,7.0
2023-02-01,7.5
2023-02-02,8.0
2023-02-03,8.5
2023-02-04,9.0
2023-02-05,9.5
2023-02-06,10.0
