Week,Hours
Week 1,2
Week 2,3
Week 3,4
Week 4,5
Week 5,1
Week 6,2
Week 7,6
Week 8,7
Week 9,8
Week 10,5
Week 11,3
Week 12,4
Week 13,6
Week 14,7
Week 15,5
Week 16,4
Week 17,3
Week 18,2
Week 19,6
Week 20,8
Week 21,7
Week 22,5
Week 23,4
Week 24,6
Week 25,8
Week 26,7
Week 27,5
Week 28,6
Week 29,4
Week 30,3
Week 31,2
Week 32,7
Week 33,8
Week 34,5
Week 35,6
Week 36,4
Week 37,3
Week 38,2
Week 39,6
Week 40,8
Week 41,7
Week 42,5
Week 43,4
Week 44,6
Week 45,8
Week 46,7
Week 47,5
Week 48,6
Week 49,4
Week 50,3
Week 51,2
Week 52,7
