Occupation,Hours of Sleep
Software Developer,6.5
Teacher,7.0
Doctor,5.5
Nurse,6.0
Engineer,6.5
Lawyer,6.0
Artist,8.0
Chef,5.0
Scientist,7.5
Police Officer,6.0
Firefighter,5.5
Musician,7.5
Writer,7.0
Athlete,8.5
Entrepreneur,6.0
Pilot,6.0
Flight Attendant,5.5
Construction Worker,6.5
Photographer,7.0
Salesperson,6.0
Accountant,6.5
Architect,7.0
Journalist,6.0
Farmer,5.0
Mechanic,6.5
Electrician,7.0
Plumber,6.5
Scientist,7.5
Pharmacist,6.5
Psychologist,7.0
Therapist,7.0
Veterinarian,6.5
Biologist,7.5
Chemist,6.5
