Day,Steps
01-Jan,7000
02-Jan,8500
03-Jan,9000
04-Jan,6000
05-Jan,11000
06-Jan,9500
07-Jan,12000
08-Jan,13000
09-Jan,7500
10-Jan,10500
11-Jan,7000
12-Jan,8000
13-Jan,9000
14-Jan,11500
15-Jan,12500
16-Jan,13500
17-Jan,14000
18-Jan,9000
19-Jan,10500
20-Jan,11000
21-Jan,7500
22-Jan,8000
23-Jan,9500
24-Jan,12500
25-Jan,13500
26-Jan,14000
27-Jan,15000
28-Jan,16000
29-Jan,17000
30-Jan,18000
31-Jan,20000
01-Feb,8500
02-Feb,9000
03-Feb,11000
04-Feb,12500
05-Feb,13500
06-Feb,14000
07-Feb,15000
08-Feb,16000
09-Feb,17000
10-Feb,18000
11-Feb,20000
12-Feb,7500
13-Feb,8000
14-Feb,9000
15-Feb,10000
16-Feb,11500
17-Feb,12500
18-Feb,13500
19-Feb,14000
20-Feb,15000
21-Feb,16000
22-Feb,17000
23-Feb,18000
24-Feb,20000
