Week,ExerciseTime(h)
2023-W01,5
2023-W02,7
2023-W03,6
2023-W04,8
2023-W05,9
2023-W06,10
2023-W07,6
2023-W08,7
2023-W09,4
2023-W10,5
2023-W11,8
2023-W12,9
2023-W13,10
2023-W14,6
2023-W15,5
2023-W16,7
2023-W17,8
2023-W18,9
2023-W19,10
2023-W20,11
2023-W21,6
2023-W22,7
2023-W23,5
2023-W24,4
2023-W25,8
2023-W26,9
2023-W27,10
2023-W28,6
2023-W29,7
2023-W30,5
2023-W31,4
2023-W32,8
2023-W33,9
2023-W34,10
2023-W35,7
2023-W36,5
2023-W37,6
2023-W38,7
2023-W39,8
2023-W40,9
2023-W41,10
2023-W42,11
2023-W43,6
2023-W44,7
2023-W45,5
2023-W46,4
2023-W47,8
2023-W48,9
2023-W49,10
2023-W50,6
2023-W51,7
2023-W52,5
2023-W53,12
