Day,Steps
01,5500
02,6500
03,7000
04,8000
05,7200
06,6000
07,7500
08,7800
09,6900
10,8500
11,8800
12,9200
13,9600
14,10200
15,9700
16,8600
17,9000
18,9400
19,6800
20,7200
21,7600
22,8100
23,8300
24,8900
25,9300
26,8700
27,9200
28,9800
29,7400
30,8000
31,8500
01,7600
02,7000
03,7400
04,8200
05,8600
06,7900
07,7500
08,7000
09,8300
10,9000
11,9500
12,9900
13,8800
14,8600
15,8200
16,7800
17,7300
18,6700
19,7100
20,6800
21,7500
22,8300
23,8900
24,9100
25,9500
26,9700
27,9800
28,10000
29,8500
30,9000
