Week,TravelTime(h)
2023-W01,4.5
2023-W02,5.0
2023-W03,4.8
2023-W04,6.5
2023-W05,5.2
2023-W06,7.0
2023-W07,4.9
2023-W08,5.1
2023-W09,4.3
2023-W10,4.8
2023-W11,5.4
2023-W12,6.7
2023-W13,6.9
2023-W14,4.5
2023-W15,4.8
2023-W16,5.2
2023-W17,6.5
2023-W18,6.8
2023-W19,7.0
2023-W20,7.2
2023-W21,4.9
2023-W22,5.3
2023-W23,4.7
2023-W24,4.4
2023-W25,6.5
2023-W26,6.8
2023-W27,7.0
2023-W28,4.8
2023-W29,5.2
2023-W30,4.7
2023-W31,4.5
2023-W32,6.6
2023-W33,6.9
2023-W34,7.0
2023-W35,5.3
2023-W36,4.9
2023-W37,5.1
2023-W38,6.0
2023-W39,6.3
2023-W40,5.8
2023-W41,4.6
2023-W42,6.1
2023-W43,6.4
2023-W44,5.5
2023-W45,5.9
2023-W46,6.7
2023-W47,5.6
2023-W48,6.8
2023-W49,5.7
2023-W50,5.2
2023-W51,5.3
2023-W52,5.9
