Day,Calories
2023-01-01,2000
2023-01-02,2500
2023-01-03,1800
2023-01-04,2200
2023-01-05,2100
2023-01-06,2400
2023-01-07,2300
2023-01-08,2000
2023-01-09,2600
2023-01-10,2500
2023-01-11,2400
2023-01-12,2300
2023-01-13,2200
2023-01-14,2100
2023-01-15,2000
2023-01-16,2300
2023-01-17,2200
2023-01-18,2100
2023-01-19,2400
2023-01-20,2500
2023-01-21,2600
2023-01-22,2700
2023-01-23,2800
2023-01-24,2900
2023-01-25,3000
2023-01-26,3100
2023-01-27,3200
2023-01-28,3300
2023-01-29,3400
2023-01-30,3500
2023-01-31,3600
