Date,Steps
2023-01-01,5000
2023-01-02,7000
2023-01-03,6000
2023-01-04,9000
2023-01-05,4000
2023-01-06,3000
2023-01-07,8000
2023-01-08,6000
2023-01-09,7000
2023-01-10,10000
2023-01-11,11000
2023-01-12,8000
2023-01-13,9000
2023-01-14,12000
2023-01-15,13000
2023-01-16,14000
2023-01-17,15000
2023-01-18,13000
2023-01-19,16000
2023-01-20,14000
2023-01-21,17000
2023-01-22,16000
2023-01-23,18000
2023-01-24,19000
2023-01-25,18000
2023-01-26,17000
2023-01-27,20000
2023-01-28,21000
2023-01-29,22000
2023-01-30,23000
2023-01-31,24000
2023-02-01,25000
2023-02-02,26000
2023-02-03,27000
2023-02-04,28000
2023-02-05,29000
2023-02-06,30000
