Date,Steps
2023-01-01,5000
2023-01-02,7000
2023-01-03,8000
2023-01-04,12000
2023-01-05,3000
2023-01-06,2500
2023-01-07,11000
2023-01-08,9000
2023-01-09,8500
2023-01-10,13000
2023-01-11,14000
2023-01-12,11000
2023-01-13,12500
2023-01-14,14500
2023-01-15,15000
2023-01-16,16000
2023-01-17,13500
2023-01-18,16500
2023-01-19,15500
2023-01-20,17500
2023-01-21,17000
2023-01-22,18500
2023-01-23,19000
2023-01-24,18000
2023-01-25,17500
2023-01-26,20000
2023-01-27,21000
2023-01-28,22000
2023-01-29,23000
2023-01-30,24000
2023-01-31,25000
2023-02-01,26000
2023-02-02,27000
2023-02-03,28000
2023-02-04,29000
2023-02-05,30000
2023-02-06,31000
