Date,Calories
2023-01-01,2100
2023-01-02,1800
2023-01-03,2200
2023-01-04,1900
2023-01-05,2300
2023-01-06,2500
2023-01-07,2000
2023-01-08,2100
2023-01-09,2400
2023-01-10,2600
2023-01-11,2200
2023-01-12,2300
2023-01-13,2700
2023-01-14,2800
2023-01-15,1900
2023-01-16,2150
2023-01-17,2250
2023-01-18,2500
2023-01-19,2600
2023-01-20,2650
2023-01-21,2450
2023-01-22,2350
2023-01-23,2500
2023-01-24,2550
2023-01-25,2750
2023-01-26,2650
2023-01-27,2550
2023-01-28,2800
2023-01-29,2750
2023-01-30,2900
2023-01-31,2650
2023-02-01,2700
2023-02-02,2600
2023-02-03,2400
2023-02-04,2500
2023-02-05,2600
2023-02-06,2650
2023-02-07,2700
2023-02-08,2750
2023-02-09,2800
2023-02-10,2550
2023-02-11,2450
2023-02-12,2600
2023-02-13,2750
2023-02-14,2700
2023-02-15,2900
