Date,Duration
2023-01-01,30
2023-01-02,45
2023-01-03,50
2023-01-04,60
2023-01-05,20
2023-01-06,25
2023-01-07,55
2023-01-08,35
2023-01-09,45
2023-01-10,60
2023-01-11,75
2023-01-12,55
2023-01-13,65
2023-01-14,80
2023-01-15,85
2023-01-16,90
2023-01-17,70
2023-01-18,95
2023-01-19,85
2023-01-20,100
2023-01-21,90
2023-01-22,110
2023-01-23,120
2023-01-24,100
2023-01-25,90
2023-01-26,125
2023-01-27,130
2023-01-28,135
2023-01-29,140
2023-01-30,145
2023-01-31,150
2023-02-01,155
2023-02-02,160
2023-02-03,165
2023-02-04,170
2023-02-05,175
2023-02-06,180
