Date,Steps
2023-01-01,5000
2023-01-02,7000
2023-01-03,8000
2023-01-04,7500
2023-01-05,9000
2023-01-06,10000
2023-01-07,6500
2023-01-08,7000
2023-01-09,8500
2023-01-10,9500
2023-01-11,8000
2023-01-12,9000
2023-01-13,11000
2023-01-14,12000
2023-01-15,7500
2023-01-16,8200
2023-01-17,9200
2023-01-18,10000
2023-01-19,9500
2023-01-20,10500
2023-01-21,9800
2023-01-22,8800
2023-01-23,9900
2023-01-24,10400
2023-01-25,11200
2023-01-26,9500
2023-01-27,10200
2023-01-28,11500
2023-01-29,10800
2023-01-30,12500
2023-01-31,9500
2023-02-01,9700
2023-02-02,10200
2023-02-03,8500
2023-02-04,9000
2023-02-05,9500
2023-02-06,9900
2023-02-07,10000
2023-02-08,10500
2023-02-09,11000
2023-02-10,9200
2023-02-11,8800
2023-02-12,10200
2023-02-13,11500
2023-02-14,10000
2023-02-15,12500
2023-02-16,13000
2023-02-17,12000
2023-02-18,11000
2023-02-19,9000
2023-02-20,8500
2023-02-21,8800
2023-02-22,9200
2023-02-23,9500
2023-02-24,10000
2023-02-25,10500
2023-02-26,11000
2023-02-27,11500
2023-02-28,12000
