Week,SleepTime(h)
2023-W01,6.5
2023-W02,7.0
2023-W03,6.8
2023-W04,7.5
2023-W05,7.2
2023-W06,8.0
2023-W07,6.9
2023-W08,7.1
2023-W09,6.3
2023-W10,6.8
2023-W11,7.4
2023-W12,7.7
2023-W13,7.9
2023-W14,6.5
2023-W15,6.8
2023-W16,7.2
2023-W17,7.5
2023-W18,7.8
2023-W19,8.0
2023-W20,8.2
2023-W21,6.9
2023-W22,7.3
2023-W23,6.7
2023-W24,6.4
2023-W25,7.5
2023-W26,7.8
2023-W27,8.0
2023-W28,6.8
2023-W29,7.2
2023-W30,6.7
2023-W31,6.5
2023-W32,7.6
2023-W33,7.9
2023-W34,8.0
2023-W35,7.3
2023-W36,6.9
2023-W37,6.7
2023-W38,7.2
2023-W39,7.5
2023-W40,8.0
2023-W41,7.4
2023-W42,6.8
2023-W43,7.1
2023-W44,7.7
2023-W45,7.9
2023-W46,8.1
2023-W47,7.3
2023-W48,6.9
2023-W49,7.2
2023-W50,7.5
2023-W51,8.0
2023-W52,7.8
