Year,Americas,Europe,Asia,Africa,Oceania
2010,50000,45000,40000,15000,12000
2011,52000,47000,42000,16000,12500
2012,54000,49000,44000,17000,13000
2013,56000,51000,46000,18000,13500
2014,58000,53000,48000,19000,14000
2015,60000,55000,50000,20000,14500
2016,62000,57000,52000,21000,15000
2017,64000,59000,54000,22000,15500
2018,66000,61000,56000,23000,16000
2019,68000,63000,58000,24000,16500
2020,70000,65000,60000,25000,17000
2021,72000,67000,62000,26000,17500
2022,74000,69000,64000,27000,18000
2023,76000,71000,66000,28000,18500
