Year,New Therapies Developed,Health Patents Filed,Research Papers Published,Mental Health Programs,Health Funding (Billion $)
2010,300,7000,18000,5,12.0
2011,320,7200,18500,6,12.5
2012,350,7400,19000,7,13.0
2013,380,7600,19500,6,13.5
2014,400,7800,20000,8,14.0
2015,430,8000,20500,9,14.5
2016,450,8200,21000,10,15.0
2017,480,8400,21500,9,15.5
2018,500,8600,22000,11,16.0
2019,530,8800,22500,12,16.5
2020,550,9000,23000,13,17.0
2021,580,9200,23500,14,17.5
2022,600,9400,24000,15,18.0
2023,620,9600,24500,16,18.5
