Month,Average Cups of Coffee
January,15
January,16
January,14
February,18
February,17
February,19
March,20
March,21
March,19
April,23
April,22
April,24
May,25
May,26
May,24
June,27
June,28
June,26
July,29
July,30
July,28
August,31
August,32
August,30
September,33
September,34
September,32
October,30
October,31
October,29
November,28
November,29
November,27
December,26
December,27
December,25
January,16
February,19
March,22
April,24
May,26
June,28
July,30
August,32
September,34
October,31
November,29
December,27
