Month,Sales
January,50000
January,52000
January,48000
February,61000
February,63000
February,59000
March,72000
March,75000
March,69000
April,83000
April,86000
April,80000
May,95000
May,97000
May,93000
June,108000
June,110000
June,106000
July,120000
July,123000
July,118000
August,130000
August,133000
August,127000
September,140000
September,143000
September,137000
October,150000
October,153000
October,147000
November,160000
November,163000
November,157000
December,170000
December,173000
December,167000
