Day,Week,Average Temperature
Monday,Week 1,15.0
Tuesday,Week 1,17.0
Wednesday,Week 1,16.0
Thursday,Week 1,18.0
Friday,Week 1,17.5
Saturday,Week 1,19.0
Sunday,Week 1,18.5
Monday,Week 2,20.0
Tuesday,Week 2,22.0
Wednesday,Week 2,21.0
Thursday,Week 2,23.0
Friday,Week 2,22.5
Saturday,Week 2,24.0
Sunday,Week 2,23.5
Monday,Week 3,25.0
Tuesday,Week 3,27.0
Wednesday,Week 3,26.0
Thursday,Week 3,28.0
Friday,Week 3,27.5
Saturday,Week 3,29.0
Sunday,Week 3,28.5
Monday,Week 4,30.0
Tuesday,Week 4,32.0
Wednesday,Week 4,31.0
Thursday,Week 4,33.0
Friday,Week 4,32.5
Saturday,Week 4,34.0
Sunday,Week 4,33.5
