Year,City,CO2_Level
2000,New York,400
2001,New York,405
2002,New York,410
2003,New York,415
2004,New York,420
2005,New York,425
2006,New York,430
2007,New York,435
2008,New York,440
2009,New York,445
2010,New York,450
2000,Los Angeles,380
2001,Los Angeles,385
2002,Los Angeles,390
2003,Los Angeles,395
2004,Los Angeles,400
2005,Los Angeles,405
2006,Los Angeles,410
2007,Los Angeles,415
2008,Los Angeles,420
2009,Los Angeles,425
2010,Los Angeles,430
2000,Chicago,390
2001,Chicago,395
2002,Chicago,400
2003,Chicago,405
2004,Chicago,410
2005,Chicago,415
2006,Chicago,420
2007,Chicago,425
2008,Chicago,430
2009,Chicago,435
2010,Chicago,440
