Month,Rainfall
January,2.1
January,2.3
January,2.5
February,2.6
February,2.8
February,3.0
March,3.2
March,3.4
March,3.6
April,4.0
April,4.2
April,4.4
May,5.0
May,5.2
May,5.4
June,6.0
June,6.2
June,6.4
July,7.0
July,7.2
July,7.4
August,7.6
August,7.8
August,8.0
September,7.5
September,7.7
September,7.9
October,6.8
October,7.0
October,7.2
November,5.5
November,5.7
November,5.9
December,4.0
December,4.2
December,4.4
January,2.7
February,3.1
March,3.9
April,4.7
May,5.6
June,6.5
July,7.7
August,8.1
September,7.8
October,7.3
November,6.1
December,4.5
