Year,Life Expectancy,Mental Health Index,Physical Activity,Obesity Rate,Healthcare Spending
2010,70.1,60.5,30.0,24.1,10.2
2011,70.3,61.0,30.5,24.5,10.5
2012,70.6,61.8,31.0,25.0,10.8
2013,70.9,62.2,31.5,25.5,11.0
2014,71.2,63.0,32.0,26.0,11.3
2015,71.5,63.5,32.5,26.5,11.6
2016,71.8,64.0,33.0,27.0,11.9
2017,72.1,64.5,33.5,27.5,12.2
2018,72.4,65.0,34.0,28.0,12.5
2019,72.7,65.5,34.5,28.5,12.8
2020,73.0,66.0,35.0,29.0,13.0
2021,73.3,66.5,35.5,29.5,13.3
2022,73.6,67.0,36.0,30.0,13.5
2023,73.9,67.5,36.5,30.5,13.8
