Year,USA,China,India,Russia,Japan
2010,5000,9000,2000,1500,1200
2011,5100,9200,2100,1550,1250
2012,5200,9400,2200,1600,1300
2013,5300,9600,2300,1650,1350
2014,5400,9800,2400,1700,1400
2015,5500,10000,2500,1750,1450
2016,5600,10200,2600,1800,1500
2017,5700,10400,2700,1850,1550
2018,5800,10600,2800,1900,1600
2019,5900,10800,2900,1950,1650
2020,6000,11000,3000,2000,1700
2021,6100,11200,3100,2050,1750
2022,6200,11400,3200,2100,1800
2023,6300,11600,3300,2150,1850
2024,6400,11800,3400,2200,1900
2025,6500,12000,3500,2250,1950
