Month,City,Rainfall,MinRainfall,MaxRainfall
January,City A,78,60,90
February,City A,82,65,95
March,City A,90,70,100
April,City A,85,67,92
May,City A,87,68,97
June,City A,92,75,105
July,City A,95,77,110
August,City A,88,70,98
September,City A,83,66,95
October,City A,75,60,85
November,City A,70,55,80
December,City A,65,50,75
January,City B,85,68,100
February,City B,88,70,105
March,City B,95,75,110
April,City B,90,72,103
May,City B,92,74,107
June,City B,98,78,115
July,City B,100,80,120
August,City B,93,75,106
September,City B,85,68,95
October,City B,78,60,90
November,City B,72,55,85
December,City B,68,50,80
