Month,City,Usage
January,New York,200
February,New York,220
March,New York,240
April,New York,260
May,New York,280
June,New York,300
July,New York,320
August,New York,340
September,New York,360
October,New York,380
November,New York,400
December,New York,420
January,Los Angeles,150
February,Los Angeles,170
March,Los Angeles,190
April,Los Angeles,210
May,Los Angeles,230
June,Los Angeles,250
July,Los Angeles,270
August,Los Angeles,290
September,Los Angeles,310
October,Los Angeles,330
November,Los Angeles,350
December,Los Angeles,370
January,Chicago,100
February,Chicago,120
March,Chicago,140
April,Chicago,160
May,Chicago,180
June,Chicago,200
July,Chicago,220
August,Chicago,240
September,Chicago,260
October,Chicago,280
November,Chicago,300
December,Chicago,320
