Month,City,Temperature
January,City A,-5
January,City B,0
January,City C,2
February,City A,-3
February,City B,2
February,City C,4
March,City A,5
March,City B,8
March,City C,10
April,City A,10
April,City B,12
April,City C,15
May,City A,15
May,City B,18
May,City C,20
June,City A,20
June,City B,23
June,City C,25
July,City A,25
July,City B,28
July,City C,30
August,City A,25
August,City B,28
August,City C,30
September,City A,20
September,City B,23
September,City C,25
October,City A,15
October,City B,18
October,City C,20
November,City A,5
November,City B,8
November,City C,10
December,City A,-3
December,City B,0
December,City C,2
