Unnamed: 0,Country,Total,Medal Type,Value
0,USA,104,Gold,46
1,USA,104,Silver,29
2,USA,104,Bronze,29
3,CHN,88,Gold,38
4,CHN,88,Silver,27
5,CHN,88,Bronze,23
6,RUS,82,Gold,24
7,RUS,82,Silver,26
8,RUS,82,Bronze,32
9,GBR,65,Gold,29
10,GBR,65,Silver,17
11,GBR,65,Bronze,19
12,GER,44,Gold,11
13,GER,44,Silver,19
14,GER,44,Bronze,14
15,JPN,38,Gold,7
16,JPN,38,Silver,14
17,JPN,38,Bronze,17
18,AUS,35,Gold,7
19,AUS,35,Silver,16
20,AUS,35,Bronze,12
21,FRA,34,Gold,11
22,FRA,34,Silver,11
23,FRA,34,Bronze,12
24,KOR,28,Gold,13
25,KOR,28,Silver,8
26,KOR,28,Bronze,7
27,ITA,28,Gold,8
28,ITA,28,Silver,9
29,ITA,28,Bronze,11
