Type1,Type2,Type3,Value
Technical,Sanitary and Phytosanitary (SPS),Initiated,18569
Technical,Sanitary and Phytosanitary (SPS),In Force,3396
Technical,Technical Barriers to Trade (TBT),Initiated,29047
Technical,Technical Barriers to Trade (TBT),In Force,3431
Trade Defence,Anti-Dumping,Initiated,471
Trade Defence,Anti-Dumping,In Force,1972
Trade Defence,Countervailing,Initiated,81
Trade Defence,Countervailing,In Force,235
Trade Defence,Safeguards,Initiated,50
Trade Defence,Safeguards,In Force,71
Agricultural,Special Safeguards,In Force,652
Agricultural,Tariff-rate quotas,In Force,1636
Agricultural,Export Subsidies,In Force,1274
Other,Quatitative Restrictions,In Force,137
Other,State Trading Enterprises,In Force,429
