Year,Sector,Value,Value_2,Detail
1990,Energy Supply,278.0,34.35338862,Val is CO2 emissions (million tonnes)
1991,Energy Supply,275.6,33.7003468,Val2 is share of total
1992,Energy Supply,264.2,33.19530148,Source is Gov.uk
1993,Energy Supply,246.4,31.75938977,
1994,Energy Supply,237.6,31.01481524,
1995,Energy Supply,237.9,31.32971276,
1996,Energy Supply,238.5,30.57890119,
1997,Energy Supply,222.6,29.5397922,
1998,Energy Supply,225.5,30.04741418,
1999,Energy Supply,212.5,29.46979296,
2000,Energy Supply,221.5,30.77181336,
2001,Energy Supply,231.2,32.03674313,
2002,Energy Supply,228.7,32.63090224,
2003,Energy Supply,234.5,33.16175577,
2004,Energy Supply,232.2,33.0595006,
2005,Energy Supply,231.3,33.31999093,
2006,Energy Supply,235.7,34.34120498,
2007,Energy Supply,230.1,34.14586581,
2008,Energy Supply,223.2,34.21591315,
2009,Energy Supply,200.1,33.55659923,
2010,Energy Supply,207.1,33.92847625,
2011,Energy Supply,192.4,34.05725627,
2012,Energy Supply,203.1,34.90324568,
2013,Energy Supply,189.8,33.42469334,
2014,Energy Supply,164.8,31.24066321,
2015,Energy Supply,145.0,28.4033507,
2016,Energy Supply,121.5,25.04069533,
2017,Energy Supply,111.5,23.51312995,
2018,Energy Supply,104.3,22.27477525,
2019,Energy Supply,95.8,21.07634486,
1990,Business,113.8,14.0646645,
1991,Business,119.4,14.60208109,
1992,Business,116.5,14.63673745,
1993,Business,114.6,14.77212052,
1994,Business,113.7,14.84280688,
1995,Business,111.3,14.65866024,
1996,Business,113.7,14.57644316,
1997,Business,110.4,14.65156564,
1998,Business,110.2,14.68341229,
1999,Business,113.5,15.73968016,
2000,Business,113.5,15.76816925,
2001,Business,111.4,15.43370203,
2002,Business,101.2,14.43899595,
2003,Business,104.7,14.80600872,
2004,Business,104.8,14.92099578,
2005,Business,105.3,15.16918754,
2006,Business,103.0,15.0071875,
2007,Business,101.8,15.10750042,
2008,Business,99.6,15.26613839,
2009,Business,86.8,14.55556606,
