Unnamed: 0,Energy Source,Region,Year,Energy Consumption
0,Biofuels Consumption - TWh - Total (zero filled),Africa,1965,0.0
1,Biofuels Consumption - TWh - Total (zero filled),Africa,1966,0.0
2,Biofuels Consumption - TWh - Total (zero filled),Africa,1967,0.0
3,Biofuels Consumption - TWh - Total (zero filled),Africa,1968,0.0
4,Biofuels Consumption - TWh - Total (zero filled),Africa,1969,0.0
5,Biofuels Consumption - TWh - Total (zero filled),Africa,1970,0.0
6,Biofuels Consumption - TWh - Total (zero filled),Africa,1971,0.0
7,Biofuels Consumption - TWh - Total (zero filled),Africa,1972,0.0
8,Biofuels Consumption - TWh - Total (zero filled),Africa,1973,0.0
9,Biofuels Consumption - TWh - Total (zero filled),Africa,1974,0.0
10,Biofuels Consumption - TWh - Total (zero filled),Africa,1975,0.0
11,Biofuels Consumption - TWh - Total (zero filled),Africa,1976,0.0
12,Biofuels Consumption - TWh - Total (zero filled),Africa,1977,0.0
13,Biofuels Consumption - TWh - Total (zero filled),Africa,1978,0.0
14,Biofuels Consumption - TWh - Total (zero filled),Africa,1979,0.0
15,Biofuels Consumption - TWh - Total (zero filled),Africa,1980,0.0
16,Biofuels Consumption - TWh - Total (zero filled),Africa,1981,0.0
17,Biofuels Consumption - TWh - Total (zero filled),Africa,1982,0.0
18,Biofuels Consumption - TWh - Total (zero filled),Africa,1983,0.0
19,Biofuels Consumption - TWh - Total (zero filled),Africa,1984,0.0
20,Biofuels Consumption - TWh - Total (zero filled),Africa,1985,0.0
21,Biofuels Consumption - TWh - Total (zero filled),Africa,1986,0.0
22,Biofuels Consumption - TWh - Total (zero filled),Africa,1987,0.0
23,Biofuels Consumption - TWh - Total (zero filled),Africa,1988,0.0
24,Biofuels Consumption - TWh - Total (zero filled),Africa,1989,0.0
25,Biofuels Consumption - TWh - Total (zero filled),Africa,1990,0.0
26,Biofuels Consumption - TWh - Total (zero filled),Africa,1991,0.0
27,Biofuels Consumption - TWh - Total (zero filled),Africa,1992,0.0
28,Biofuels Consumption - TWh - Total (zero filled),Africa,1993,0.0
29,Biofuels Consumption - TWh - Total (zero filled),Africa,1994,0.0
30,Biofuels Consumption - TWh - Total (zero filled),Africa,1995,0.0
31,Biofuels Consumption - TWh - Total (zero filled),Africa,1996,0.0
32,Biofuels Consumption - TWh - Total (zero filled),Africa,1997,0.0
33,Biofuels Consumption - TWh - Total (zero filled),Africa,1998,0.0
34,Biofuels Consumption - TWh - Total (zero filled),Africa,1999,0.0
35,Biofuels Consumption - TWh - Total (zero filled),Africa,2000,0.0
36,Biofuels Consumption - TWh - Total (zero filled),Africa,2001,0.0
37,Biofuels Consumption - TWh - Total (zero filled),Africa,2002,0.0
38,Biofuels Consumption - TWh - Total (zero filled),Africa,2003,0.0
39,Biofuels Consumption - TWh - Total (zero filled),Africa,2004,0.0
40,Biofuels Consumption - TWh - Total (zero filled),Africa,2005,0.0
41,Biofuels Consumption - TWh - Total (zero filled),Africa,2006,0.0
42,Biofuels Consumption - TWh - Total (zero filled),Africa,2007,0.0
43,Biofuels Consumption - TWh - Total (zero filled),Africa,2008,0.0
44,Biofuels Consumption - TWh - Total (zero filled),Africa,2009,0.0
45,Biofuels Consumption - TWh - Total (zero filled),Africa,2010,0.0
46,Biofuels Consumption - TWh - Total (zero filled),Africa,2011,0.0
47,Biofuels Consumption - TWh - Total (zero filled),Africa,2012,0.0
48,Biofuels Consumption - TWh - Total (zero filled),Africa,2013,0.0
49,Biofuels Consumption - TWh - Total (zero filled),Africa,2014,0.0
50,Biofuels Consumption - TWh - Total (zero filled),Africa,2015,0.0
51,Biofuels Consumption - TWh - Total (zero filled),Africa,2016,0.0
52,Biofuels Consumption - TWh - Total (zero filled),Africa,2017,0.0
53,Biofuels Consumption - TWh - Total (zero filled),Africa,2018,0.0
54,Biofuels Consumption - TWh - Total (zero filled),Africa,2019,0.0
55,Biofuels Consumption - TWh - Total (zero filled),Africa,2020,0.0
56,Biofuels Consumption - TWh - Total (zero filled),Africa,2021,0.0
57,Biofuels Consumption - TWh - Total (zero filled),Asia,1965,0.0
58,Biofuels Consumption - TWh - Total (zero filled),Asia,1966,0.0
59,Biofuels Consumption - TWh - Total (zero filled),Asia,1967,0.0
