Year,Party,seats
1918,Conservative,382
1922,Conservative,344
1923,Conservative,258
1924,Conservative,412
1929,Conservative,260
1931,Conservative,522
1935,Conservative,429
1945,Conservative,210
1950,Conservative,298
1951,Conservative,321
1955,Conservative,345
1959,Conservative,365
1964,Conservative,304
1966,Conservative,253
1970,Conservative,330
1974,Conservative,277
1979,Conservative,339
1983,Conservative,397
1987,Conservative,376
1992,Conservative,336
1997,Conservative,165
2001,Conservative,166
2005,Conservative,198
2010,Conservative,306
2015,Conservative,330
2017,Conservative,317
2019,Conservative,365
1918,Labour,57
1922,Labour,142
1923,Labour,191
1924,Labour,151
1929,Labour,287
1931,Labour,52
1935,Labour,154
1945,Labour,393
1950,Labour,315
1951,Labour,295
1955,Labour,277
1959,Labour,258
1964,Labour,317
1966,Labour,364
1970,Labour,288
1974,Labour,319
1979,Labour,269
1983,Labour,209
1987,Labour,229
1992,Labour,271
1997,Labour,418
2001,Labour,412
2005,Labour,355
2010,Labour,258
2015,Labour,232
2017,Labour,262
2019,Labour,203
1918,Liberal Democrats,163
1922,Liberal Democrats,115
1923,Liberal Democrats,158
1924,Liberal Democrats,40
1929,Liberal Democrats,59
1931,Liberal Democrats,36
1935,Liberal Democrats,21
1945,Liberal Democrats,12
1950,Liberal Democrats,9
1951,Liberal Democrats,6
1955,Liberal Democrats,6
1959,Liberal Democrats,6
1964,Liberal Democrats,9
1966,Liberal Democrats,12
1970,Liberal Democrats,6
1974,Liberal Democrats,13
1979,Liberal Democrats,11
1983,Liberal Democrats,23
1987,Liberal Democrats,22
1992,Liberal Democrats,20
1997,Liberal Democrats,46
2001,Liberal Democrats,52
2005,Liberal Democrats,62
2010,Liberal Democrats,57
2015,Liberal Democrats,8
2017,Liberal Democrats,12
2019,Liberal Democrats,11
