Unnamed: 0,Country,Medal,Total
0,United States,Gold,48
1,United States,Silver,26
2,United States,Bronze,30
3,China,Gold,39
4,China,Silver,31
5,China,Bronze,22
6,Great Britain*,Gold,29
7,Great Britain*,Silver,18
8,Great Britain*,Bronze,18
9,Russia,Gold,17
10,Russia,Silver,21
11,Russia,Bronze,27
12,South Korea,Gold,13
13,South Korea,Silver,9
14,South Korea,Bronze,8
15,Germany,Gold,11
16,Germany,Silver,20
17,Germany,Bronze,13
18,France,Gold,11
19,France,Silver,11
20,France,Bronze,13
21,Australia,Gold,8
22,Australia,Silver,15
23,Australia,Bronze,12
24,Italy,Gold,8
25,Italy,Silver,9
26,Italy,Bronze,11
27,Hungary,Gold,8
28,Hungary,Silver,5
29,Hungary,Bronze,5
30,Japan,Gold,7
31,Japan,Silver,14
32,Japan,Bronze,17
33,Iran,Gold,7
34,Iran,Silver,5
35,Iran,Bronze,1
36,Netherlands,Gold,6
37,Netherlands,Silver,6
38,Netherlands,Bronze,8
39,New Zealand,Gold,6
40,New Zealand,Silver,2
41,New Zealand,Bronze,5
42,Ukraine,Gold,5
43,Ukraine,Silver,4
44,Ukraine,Bronze,10
45,Cuba,Gold,5
46,Cuba,Silver,3
47,Cuba,Bronze,7
48,Spain,Gold,4
49,Spain,Silver,10
50,Spain,Bronze,6
51,Jamaica,Gold,4
52,Jamaica,Silver,5
53,Jamaica,Bronze,4
54,Czech Republic,Gold,4
55,Czech Republic,Silver,3
56,Czech Republic,Bronze,4
57,South Africa,Gold,4
58,South Africa,Silver,1
59,South Africa,Bronze,1
