Unnamed: 0,periodo_ingresso,forma_reserva_vagas
3823,2020.1,Escola Renda Cor
3822,2020.1,Escola Renda Cor
3561,2020.1,Escola Cor
3700,2020.1,Escola Renda
3712,2020.1,Escola Renda
3850,2020.1,Escola Renda Cor
3641,2020.1,Escola Cor Deficiencia
3518,2020.1,Escola Renda Cor
3546,2019.2,Escola Cor
3541,2019.2,Escola Cor
3377,2019.2,Escola Renda Cor
3383,2019.2,Escola Renda Cor
3388,2019.2,Escola Renda Cor
3164,2019.2,Escola Cor Deficiencia
3194,2019.2,Escola
3089,2019.2,Escola Renda Cor
3166,2019.2,Escola Renda
3652,2019.1,Escola Renda Cor
3653,2019.1,Escola Renda Cor
3657,2019.1,Escola Renda Cor
3734,2019.1,Escola Renda Cor
3741,2019.1,Escola Cor
3743,2019.1,Escola
3746,2019.1,Escola Renda
3272,2018.2,Escola Renda Cor
3449,2018.2,Escola Renda
3495,2018.2,Escola
3431,2018.2,Escola Renda Cor
3445,2018.2,Escola Cor
3440,2018.2,Escola Cor
3685,2018.2,Escola Renda Deficiencia
3167,2018.1,Escola Renda Cor Deficiencia
3093,2018.1,Escola Renda Cor
3555,2018.1,Escola Cor
3668,2018.1,Escola Renda
3036,2017.2,Escola Renda Cor
3374,2017.2,Escola Renda Cor
2235,2017.2,Escola Renda
1841,2017.2,Escola Renda
3717,2017.2,Escola Cor
3508,2017.2,Escola Cor
3230,2017.2,Escola Cor
3228,2017.2,Escola Cor
3223,2017.2,Escola Renda
3145,2017.1,Escola Renda Cor
3129,2017.1,Escola Renda Cor
3154,2017.1,Escola Cor
3153,2017.1,Escola
3151,2017.1,Escola Cor
3142,2017.1,Escola
3607,2017.1,Escola Renda
3455,2017.1,Escola Renda Cor
3331,2017.1,Escola Cor
3305,2017.1,Escola Renda Cor
2236,2016.2,Escola
2253,2016.2,Escola Renda Cor
3071,2016.2,Escola Cor
2454,2016.2,Escola Cor
3338,2016.2,Escola Renda Cor
3349,2016.2,Escola
3290,2016.2,Escola
3264,2016.2,Escola Renda Cor
3229,2016.2,Escola Renda
3477,2016.2,Escola Renda
3189,2016.2,Escola Renda Cor
3038,2016.2,Escola Cor
3416,2016.2,Escola Cor
2958,2016.1,Escola Renda Cor
2952,2016.1,Escola Cor
1358,2016.1,Escola Renda Cor
1690,2016.1,Escola
2990,2016.1,Escola Renda
3940,2016.1,Escola Cor
2938,2015.2,Escola Renda Cor
2911,2015.2,Escola Cor
3885,2015.2,Escola Renda Cor
3875,2015.2,Escola Renda
3874,2015.2,Escola Renda Cor
2950,2015.2,Escola Renda Cor
3881,2015.2,Escola Cor
3792,2015.1,Escola Renda Cor
3845,2015.1,Escola
2885,2015.1,Escola Cor
2884,2015.1,Escola Cor
2812,2014.2,Escola Cor
2828,2014.2,Escola Renda
2790,2014.2,Escola Cor
2782,2014.2,Escola Renda Cor
3686,2014.2,Escola
3750,2014.2,Escola Renda Cor
2656,2014.1,Escola
2722,2014.1,Escola Cor
2749,2014.1,Escola
2740,2014.1,Escola Renda
2670,2014.1,Escola Renda
2605,2013.2,Escola Renda Cor
2432,2013.1,Escola Renda
