Team,Year,Goals Scored
Arsenal,02/03,85
Arsenal,03/04,73
Arsenal,04/05,87
Arsenal,05/06,68
Arsenal,06/07,63
Arsenal,07/08,74
Arsenal,08/09,68
Arsenal,09/10,83
Arsenal,10/11,72
Arsenal,11/12,74
Arsenal,12/13,72
Arsenal,13/14,68
Arsenal,14/15,71
Arsenal,15/16,65
Arsenal,16/17,77
Arsenal,17/18,74
Arsenal,18/19,73
Arsenal,19/20,56
Arsenal,20/21,55
Arsenal,21/22,61
Chelsea,02/03,68
Chelsea,03/04,67
Chelsea,04/05,72
Chelsea,05/06,72
Chelsea,06/07,64
Chelsea,07/08,65
Chelsea,08/09,68
Chelsea,09/10,103
Chelsea,10/11,69
Chelsea,11/12,65
Chelsea,12/13,75
Chelsea,13/14,71
Chelsea,14/15,73
Chelsea,15/16,59
Chelsea,16/17,85
Chelsea,17/18,62
Chelsea,18/19,63
Chelsea,19/20,69
Chelsea,20/21,58
Chelsea,21/22,76
Liverpool,02/03,61
Liverpool,03/04,55
Liverpool,04/05,52
Liverpool,05/06,57
Liverpool,06/07,57
Liverpool,07/08,67
Liverpool,08/09,77
Liverpool,09/10,61
Liverpool,10/11,59
Liverpool,11/12,47
Liverpool,12/13,71
Liverpool,13/14,101
Liverpool,14/15,52
Liverpool,15/16,63
Liverpool,16/17,78
Liverpool,17/18,84
Liverpool,18/19,89
Liverpool,19/20,85
Liverpool,20/21,68
Liverpool,21/22,94
Man City,02/03,47
Man City,03/04,55
Man City,04/05,47
Man City,05/06,43
Man City,06/07,29
Man City,07/08,45
Man City,08/09,58
Man City,09/10,73
Man City,10/11,60
Man City,11/12,93
Man City,12/13,66
Man City,13/14,102
Man City,14/15,83
Man City,15/16,71
Man City,16/17,80
Man City,17/18,106
Man City,18/19,95
Man City,19/20,102
Man City,20/21,83
Man City,21/22,99
Man United,02/03,74
Man United,03/04,64
Man United,04/05,58
Man United,05/06,72
Man United,06/07,83
Man United,07/08,80
Man United,08/09,68
Man United,09/10,86
Man United,10/11,78
Man United,11/12,89
Man United,12/13,86
Man United,13/14,64
Man United,14/15,62
Man United,15/16,49
Man United,16/17,54
Man United,17/18,68
Man United,18/19,65
Man United,19/20,66
Man United,20/21,73
Man United,21/22,57
Tottenham,02/03,51
Tottenham,03/04,47
Tottenham,04/05,47
Tottenham,05/06,53
Tottenham,06/07,57
Tottenham,07/08,66
Tottenham,08/09,45
Tottenham,09/10,67
Tottenham,10/11,55
Tottenham,11/12,66
Tottenham,12/13,66
Tottenham,13/14,55
Tottenham,14/15,58
Tottenham,15/16,69
Tottenham,16/17,86
Tottenham,17/18,74
Tottenham,18/19,67
Tottenham,19/20,61
Tottenham,20/21,68
Tottenham,21/22,69
