Country Name,Indicator Name,Year,GDP growth (annual %)
Denmark,GDP per capita growth (annual %),1961,5.638743553
Denmark,GDP per capita growth (annual %),1962,4.847446966
Denmark,GDP per capita growth (annual %),1963,-0.152610055
Denmark,GDP per capita growth (annual %),1964,8.400119265
Denmark,GDP per capita growth (annual %),1965,3.743684868
Denmark,GDP per capita growth (annual %),1966,1.919198017
Denmark,GDP per capita growth (annual %),1967,4.70161895
Denmark,GDP per capita growth (annual %),1968,4.912387623
Denmark,GDP per capita growth (annual %),1969,5.921884888
Denmark,GDP per capita growth (annual %),1970,0.836281146
Denmark,GDP per capita growth (annual %),1971,2.291699419
Denmark,GDP per capita growth (annual %),1972,3.336615093
Denmark,GDP per capita growth (annual %),1973,3.465614309
Denmark,GDP per capita growth (annual %),1974,-1.581692398
Denmark,GDP per capita growth (annual %),1975,-1.74030563
Denmark,GDP per capita growth (annual %),1976,5.658698172
Denmark,GDP per capita growth (annual %),1977,1.553514127
Denmark,GDP per capita growth (annual %),1978,1.909290198
Denmark,GDP per capita growth (annual %),1979,3.614290364
Denmark,GDP per capita growth (annual %),1980,-0.603929078
Denmark,GDP per capita growth (annual %),1981,-0.63790415
Denmark,GDP per capita growth (annual %),1982,3.760789428
Denmark,GDP per capita growth (annual %),1983,2.666544948
Denmark,GDP per capita growth (annual %),1984,4.220711027
Denmark,GDP per capita growth (annual %),1985,3.96161087
Denmark,GDP per capita growth (annual %),1986,4.763986084
Denmark,GDP per capita growth (annual %),1987,0.127360299
Denmark,GDP per capita growth (annual %),1988,-0.062176179
Denmark,GDP per capita growth (annual %),1989,0.584830839
Denmark,GDP per capita growth (annual %),1990,1.310525163
Denmark,GDP per capita growth (annual %),1991,1.130840198
Denmark,GDP per capita growth (annual %),1992,1.620420852
Denmark,GDP per capita growth (annual %),1993,-0.32195993
Denmark,GDP per capita growth (annual %),1994,4.977347179
Denmark,GDP per capita growth (annual %),1995,2.492248169
Denmark,GDP per capita growth (annual %),1996,2.319405698
Denmark,GDP per capita growth (annual %),1997,2.832664465
Denmark,GDP per capita growth (annual %),1998,1.847613945
Denmark,GDP per capita growth (annual %),1999,2.60794426
Denmark,GDP per capita growth (annual %),2000,3.400684546
Denmark,GDP per capita growth (annual %),2001,0.462534295
Denmark,GDP per capita growth (annual %),2002,0.145880727
Denmark,GDP per capita growth (annual %),2003,0.117358167
Denmark,GDP per capita growth (annual %),2004,2.403233997
Denmark,GDP per capita growth (annual %),2005,2.055110516
Denmark,GDP per capita growth (annual %),2006,3.572063464
Denmark,GDP per capita growth (annual %),2007,0.462731494
Denmark,GDP per capita growth (annual %),2008,-1.094842128
Denmark,GDP per capita growth (annual %),2009,-5.414013999
Denmark,GDP per capita growth (annual %),2010,1.419486631
Denmark,GDP per capita growth (annual %),2011,0.920393685
Denmark,GDP per capita growth (annual %),2012,-0.149916088
Denmark,GDP per capita growth (annual %),2013,0.513424428
Denmark,GDP per capita growth (annual %),2014,1.105433466
Denmark,GDP per capita growth (annual %),2015,1.622166258
Denmark,GDP per capita growth (annual %),2016,2.443368874
Denmark,GDP per capita growth (annual %),2017,2.162355113
Denmark,GDP per capita growth (annual %),2018,1.485085157
