label,group,value
2020-05-20,A,8
2020-05-20,B,4
2020-05-20,I,2
2020-05-20,C,2
2020-05-20,D,2
2020-05-20,E,1
2020-05-21,A,4
2020-05-21,F,4
2020-05-21,G,2
2020-05-21,C,2
2020-05-21,H,1
2020-05-21,E,1
2020-05-22,B,6
2020-05-23,G,3
2020-05-23,A,2
2020-05-23,H,1
2020-05-23,I,1
2020-05-23,E,1
2020-05-23,J,1
2020-05-24,A,8
2020-05-24,G,3
2020-05-24,H,1
2020-05-24,I,1
2020-05-25,A,4
2020-05-25,J,3
2020-05-25,B,1
2020-05-25,G,1
2020-05-26,A,2
2020-05-26,C,1
2020-05-28,A,5
2020-05-28,G,2
2020-05-28,C,1
2020-05-28,E,1
2020-05-28,H,1
2020-05-28,F,1
2020-05-29,A,3
2020-05-29,B,1
2020-05-29,F,1
2020-05-31,A,9
2020-05-31,B,2
2020-05-31,I,2
2020-05-31,G,2
2020-05-31,E,2
2020-05-31,C,1
2020-06-02,A,1
2020-06-02,F,1
2020-06-02,G,1
2020-06-03,A,7
2020-06-03,G,5
2020-06-03,D,3
2020-06-03,E,3
2020-06-03,I,3
2020-06-03,F,2
2020-06-03,C,1
2020-06-04,A,7
2020-06-04,C,2
2020-06-04,D,2
2020-06-04,H,1
2020-06-04,E,1
2020-06-04,J,1
2020-06-05,A,14
2020-06-05,G,4
2020-06-05,H,4
2020-06-05,F,3
2020-06-05,B,2
2020-06-05,J,2
2020-06-05,D,1
2020-06-05,C,1
2020-06-06,A,5
2020-06-06,D,3
2020-06-06,I,2
2020-06-06,H,2
2020-06-06,G,2
2020-06-06,F,1
2020-06-06,J,1
2020-06-07,A,4
2020-06-07,E,2
2020-06-08,A,7
2020-06-08,F,3
2020-06-08,D,2
2020-06-08,G,2
2020-06-08,C,2
2020-06-08,E,2
2020-06-08,H,1
2020-06-08,I,1
2020-06-09,A,7
2020-06-09,I,1
2020-06-09,C,1
2020-06-09,F,1
2020-06-09,D,1
2020-06-09,B,1
2020-06-09,J,1
2020-06-09,G,1
2020-06-10,G,2
2020-06-10,A,1
2020-06-10,I,1
2020-06-10,C,1
2020-06-11,A,3
2020-06-11,B,1
2020-06-11,G,1
2020-06-11,C,1
2020-06-12,A,1
2020-06-12,B,1
2020-06-12,G,1
2020-06-12,H,1
2020-06-12,C,1
2020-06-13,A,17
2020-06-13,G,3
2020-06-13,D,3
2020-06-13,B,2
2020-06-13,I,2
2020-06-13,E,1
2020-06-13,H,1
2020-06-14,A,26
2020-06-14,B,3
2020-06-14,I,3
2020-06-14,E,2
2020-06-14,H,2
2020-06-14,F,1
2020-06-14,G,1
2020-06-14,D,1
2020-06-14,J,1
2020-06-15,A,19
2020-06-15,E,5
2020-06-15,H,4
2020-06-15,F,3
2020-06-15,J,2
2020-06-15,B,2
2020-06-15,G,2
2020-06-15,C,1
2020-06-16,A,3
2020-06-16,B,3
2020-06-16,I,1
2020-06-16,C,1
2020-06-16,E,1
2020-06-16,H,1
2020-06-16,D,1
