Year,Team,Expenditure
2014,Arsenal,118.98
2015,Arsenal,26.5
2016,Arsenal,113.0
2017,Arsenal,152.85
2018,Arsenal,80.15
2019,Arsenal,160.8
2020,Arsenal,86.0
2021,Arsenal,167.4
2022,Arsenal,132.06
2014,Aston Villa,13.45
2015,Aston Villa,66.55
2019,Aston Villa,159.5
2020,Aston Villa,101.35
2021,Aston Villa,129.82
2022,Aston Villa,70.0
2015,Bournemouth,55.11
2016,Bournemouth,40.69
2017,Bournemouth,34.3
2018,Bournemouth,91.6
2019,Bournemouth,54.91
2022,Bournemouth,26.9
2021,Brentford FC,36.7
2022,Brentford FC,50.5
2017,Brighton & Hove Albion,66.5
2018,Brighton & Hove Albion,87.12
2019,Brighton & Hove Albion,61.74
2020,Brighton & Hove Albion,28.5
2021,Brighton & Hove Albion,75.0
2022,Brighton & Hove Albion,45.73
2014,Burnley,11.11
2016,Burnley,40.13
2017,Burnley,31.45
2018,Burnley,29.04
2019,Burnley,20.99
2020,Burnley,0.97
2021,Burnley,43.47
2018,Cardiff City,35.38
2014,Chelsea FC,137.7
2015,Chelsea FC,96.5
2016,Chelsea FC,132.8
2017,Chelsea FC,260.5
2018,Chelsea FC,208.8
2019,Chelsea FC,45.0
2020,Chelsea FC,247.2
2021,Chelsea FC,118.0
2022,Chelsea FC,281.99
2014,Crystal Palace,31.22
2015,Crystal Palace,28.8
2016,Crystal Palace,101.2
2017,Crystal Palace,48.95
2018,Crystal Palace,11.85
2019,Crystal Palace,7.6
2020,Crystal Palace,22.4
2021,Crystal Palace,85.62
2022,Crystal Palace,34.6
2014,Everton FC,40.16
2015,Everton FC,48.9
2016,Everton FC,86.0
2017,Everton FC,203.2
2018,Everton FC,99.8
2019,Everton FC,121.0
2020,Everton FC,73.37
2021,Everton FC,39.5
2022,Everton FC,78.2
2018,Fulham FC,116.5
2020,Fulham FC,37.25
2022,Fulham FC,61.4
2017,Huddersfield Town,49.94
2018,Huddersfield Town,44.62
2014,Hull City,42.43
2016,Hull City,35.2
2020,Leeds United,127.8
2021,Leeds United,58.9
2022,Leeds United,104.34
2014,Leicester City,22.86
2015,Leicester City,49.9
2016,Leicester City,92.1
2017,Leicester City,83.85
2018,Leicester City,114.6
2019,Leicester City,104.3
2020,Leicester City,59.4
2021,Leicester City,67.6
2022,Leicester City,17.0
2014,Liverpool FC,151.43
2015,Liverpool FC,126.5
2016,Liverpool FC,79.9
2017,Liverpool FC,173.65
2018,Liverpool FC,182.2
2019,Liverpool FC,10.4
2020,Liverpool FC,84.05
2021,Liverpool FC,87.0
2022,Liverpool FC,95.3
2014,Manchester City,102.8
2015,Manchester City,208.47
2016,Manchester City,215.0
2017,Manchester City,317.5
2018,Manchester City,78.59
2019,Manchester City,159.52
2020,Manchester City,173.4
2021,Manchester City,138.9
2022,Manchester City,139.5
2014,Manchester United,195.35
2015,Manchester United,156.0
2016,Manchester United,185.0
2017,Manchester United,198.4
2018,Manchester United,82.7
2019,Manchester United,234.8
2020,Manchester United,83.8
2021,Manchester United,142.0
2022,Manchester United,240.32
2016,Middlesbrough,42.2
2014,Newcastle United,45.02
2015,Newcastle United,107.91
2017,Newcastle United,46.5
2018,Newcastle United,59.75
2019,Newcastle United,72.9
2020,Newcastle United,39.0
2021,Newcastle United,130.5
2022,Newcastle United,136.35
2015,Norwich City,44.44
2019,Norwich City,7.76
2021,Norwich City,55.95
2022,Nottingham Forest,161.95
2014,Queens Park Rangers,38.32
2019,Sheffield United,62.04
2020,Sheffield United,55.18
2014,Southampton FC,96.0
2015,Southampton FC,60.1
2016,Southampton FC,68.9
2017,Southampton FC,61.25
2018,Southampton FC,62.25
2019,Southampton FC,61.5
2020,Southampton FC,37.3
2021,Southampton FC,43.1
2022,Southampton FC,79.4
2014,Stoke City,1.58
2015,Stoke City,47.21
2016,Stoke City,34.13
2017,Stoke City,50.78
2014,Sunderland,19.82
2015,Sunderland,58.12
2016,Sunderland,36.87
2014,Swansea City,36.55
2015,Swansea City,19.19
2016,Swansea City,51.13
2017,Swansea City,64.58
2014,Tottenham Hotspur,48.48
2015,Tottenham Hotspur,71.0
2016,Tottenham Hotspur,83.5
2017,Tottenham Hotspur,123.5
2018,Tottenham Hotspur,0.0
2019,Tottenham Hotspur,148.5
2020,Tottenham Hotspur,110.5
2021,Tottenham Hotspur,95.9
2022,Tottenham Hotspur,169.9
2015,Watford,72.86
2016,Watford,62.0
2017,Watford,64.59
2018,Watford,26.54
2019,Watford,49.38
2021,Watford,38.36
2014,West Bromwich Albion,21.89
2015,West Bromwich Albion,37.75
2016,West Bromwich Albion,33.35
2017,West Bromwich Albion,47.08
2020,West Bromwich Albion,37.08
2014,West Ham United,35.15
2015,West Ham United,52.7
2016,West Ham United,83.5
2017,West Ham United,56.8
2018,West Ham United,100.9
2019,West Ham United,119.8
2020,West Ham United,54.7
2021,West Ham United,74.5
2022,West Ham United,182.0
2018,Wolverhampton Wanderers,112.75
2019,Wolverhampton Wanderers,116.7
2020,Wolverhampton Wanderers,87.59
2021,Wolverhampton Wanderers,37.6
2022,Wolverhampton Wanderers,136.6
