Day,Cups of Coffee
Day 1,132
Day 2,128
Day 3,115
Day 4,143
Day 5,150
Day 6,108
Day 7,165
Day 8,122
Day 9,137
Day 10,145
Day 11,119
Day 12,121
Day 13,133
Day 14,140
Day 15,155
Day 16,118
Day 17,156
Day 18,129
Day 19,112
Day 20,134
Day 21,148
Day 22,164
Day 23,157
Day 24,120
Day 25,136
Day 26,147
Day 27,151
Day 28,138
Day 29,167
Day 30,131
Day 31,117
Day 32,125
Day 33,139
Day 34,152
Day 35,110
Day 36,154
Day 37,149
Day 38,158
Day 39,126
Day 40,161
Day 41,123
Day 42,130
Day 43,160
Day 44,174
Day 45,168
Day 46,172
Day 47,146
Day 48,135
Day 49,163
Day 50,171
