Day of the Week, Time Spent (minutes)
Monday, 30
Monday, 25
Monday, 45
Tuesday, 20
Tuesday, 35
Tuesday, 50
Wednesday, 60
Wednesday, 25
Wednesday, 30
Thursday, 50
Thursday, 40
Thursday, 45
Friday, 20
Friday, 30
Friday, 25
Saturday, 70
Saturday, 60
Saturday, 55
Sunday, 90
Sunday, 85
Sunday, 80
Monday, 30
Monday, 25
Monday, 35
Tuesday, 40
Tuesday, 30
Tuesday, 45
Wednesday, 20
Wednesday, 55
Wednesday, 60
Thursday, 45
Thursday, 50
Thursday, 35
Friday, 25
Friday, 30
Friday, 40
Saturday, 65
Saturday, 75
Saturday, 80
Sunday, 85
Sunday, 90
Sunday, 95
Monday, 30
Monday, 35
Monday, 40
Tuesday, 25
Tuesday, 20
Tuesday, 30
Wednesday, 55
Wednesday, 50
Wednesday, 45
Thursday, 60
Thursday, 50
Thursday, 55
Friday, 25
Friday, 30
Friday, 20
