Month,Visits
January,4500
February,3700
March,4800
April,5100
May,5300
June,4900
July,4700
August,4600
September,5200
October,5500
November,5400
December,5800
January,4650
February,3900
March,4950
April,5300
May,5550
June,5100
July,4850
August,4750
September,5250
October,5600
November,5450
December,5900
January,4800
February,4000
March,5000
April,5400
May,5600
June,5150
July,4900
August,4800
September,5300
October,5650
November,5500
December,6000
January,4900
February,4050
March,5050
April,5450
May,5650
June,5200
July,4950
August,4850
September,5350
October,5700
November,5550
December,6100
