Age Group,Hours per Day
18-24,3.6
25-34,4.5
35-44,3.1
45-54,4.2
55-64,5.3
65+,6.1
18-24,5.7
25-34,6.4
35-44,2.9
45-54,3.8
55-64,4.1
65+,6.3
18-24,2.4
25-34,5.8
35-44,3.5
45-54,4.0
55-64,5.5
65+,7.0
18-24,3.9
25-34,4.2
35-44,3.0
45-54,4.7
55-64,5.2
65+,6.5
18-24,4.4
25-34,3.5
35-44,4.1
45-54,3.9
55-64,4.8
65+,6.6
18-24,3.8
25-34,6.0
35-44,2.8
45-54,4.6
55-64,5.4
65+,5.9
18-24,5.9
25-34,4.9
35-44,3.2
45-54,4.1
55-64,5.0
65+,7.1
18-24,2.5
25-34,5.7
35-44,3.6
45-54,4.3
55-64,5.6
65+,6.2
18-24,3.7
25-34,6.1
35-44,4.0
45-54,4.5
55-64,5.1
65+,6.0
18-24,4.2
25-34,4.3
35-44,3.3
45-54,3.7
55-64,4.9
65+,6.7
18-24,3.5
25-34,5.6
35-44,4.2
45-54,4.4
55-64,5.7
65+,6.4
