Customer Age Group,Visits per Week
18-25,3
26-35,5
36-45,2
46-55,1
56-65,4
Over 65,2
18-25,6
26-35,3
36-45,0
46-55,2
56-65,3
Over 65,1
18-25,2
26-35,4
36-45,1
46-55,3
56-65,5
Over 65,4
18-25,1
26-35,4
36-45,3
46-55,1
56-65,2
Over 65,3
18-25,4
26-35,5
36-45,4
46-55,2
56-65,1
Over 65,2
18-25,5
26-35,4
36-45,3
46-55,0
56-65,3
Over 65,1
18-25,2
26-35,3
36-45,1
46-55,4
56-65,2
Over 65,0
18-25,3
26-35,6
36-45,2
46-55,3
56-65,4
Over 65,5
18-25,7
26-35,4
36-45,1
46-55,0
56-65,2
Over 65,3
18-25,0
26-35,5
36-45,3
46-55,2
56-65,1
Over 65,4
18-25,2
26-35,3
36-45,4
46-55,3
56-65,0
Over 65,3
