Person,Cups
Person 1,3
Person 2,1
Person 3,5
Person 4,2
Person 5,0
Person 6,4
Person 7,2
Person 8,3
Person 9,1
Person 10,2
Person 11,2
Person 12,0
Person 13,3
Person 14,4
Person 15,1
Person 16,2
Person 17,0
Person 18,5
Person 19,3
Person 20,1
Person 21,2
Person 22,4
Person 23,2
Person 24,3
Person 25,5
Person 26,1
Person 27,2
Person 28,0
Person 29,3
Person 30,1
Person 31,4
Person 32,2
Person 33,0
Person 34,5
Person 35,3
Person 36,1
Person 37,2
Person 38,4
Person 39,2
Person 40,3
Person 41,1
Person 42,5
Person 43,2
Person 44,0
Person 45,3
Person 46,1
Person 47,4
Person 48,2
Person 49,0
Person 50,5
