Month, Checkouts
January, 450
January, 375
January, 320
February, 290
February, 310
February, 250
March, 400
March, 420
March, 380
April, 360
April, 335
April, 340
May, 500
May, 475
May, 520
June, 390
June, 410
June, 400
July, 460
July, 440
July, 470
August, 480
August, 500
August, 530
September, 410
September, 430
September, 425
October, 380
October, 370
October, 360
November, 420
November, 405
November, 415
December, 390
December, 420
December, 400
January, 410
January, 400
January, 415
February, 385
February, 370
February, 345
March, 405
March, 430
March, 410
April, 420
April, 385
April, 395
May, 490
May, 510
