Month,Coffee Cups Consumed
January,122
February,136
March,128
April,114
May,130
June,152
July,148
August,140
September,132
October,138
November,146
December,158
January,126
February,139
March,120
April,125
May,134
June,143
July,157
August,145
September,131
October,127
November,149
December,162
January,119
February,141
March,132
April,118
May,135
June,150
July,164
August,142
September,133
October,137
November,155
December,159
January,121
February,144
March,129
April,115
May,131
June,151
July,149
August,138
September,134
October,139
November,147
December,160
January,124
February,140
March,125
April,116
May,132
June,148
July,153
August,143
September,135
October,128
November,154
December,161
