Age Group, Screen Time (hours)
<18, 3.5
<18, 7
<18, 4
<18, 5.5
<18, 2.5
<18, 6.0
<18, 6.5
<18, 4.2
<18, 5.8
<18, 7.5
18-24, 8
18-24, 6.5
18-24, 7.2
18-24, 9
18-24, 5.5
18-24, 8.5
18-24, 7.7
18-24, 10
18-24, 11
18-24, 5.9
25-34, 6
25-34, 7.5
25-34, 5
25-34, 4.5
25-34, 8
25-34, 6.2
25-34, 7
25-34, 8.3
25-34, 9
25-34, 5
35-44, 5
35-44, 4
35-44, 3.5
35-44, 5.5
35-44, 6
35-44, 3
35-44, 4.5
35-44, 6.5
35-44, 2.5
35-44, 5.7
45-54, 4
45-54, 3.5
45-54, 5
45-54, 6
45-54, 2.5
45-54, 4.5
45-54, 3.0
45-54, 4.2
45-54, 4.8
45-54, 3.7
55-64, 3
55-64, 4
55-64, 2.5
55-64, 3.5
55-64, 4.5
55-64, 3.2
55-64, 2.8
55-64, 2.2
55-64, 3.0
55-64, 5
65+, 2
65+, 2.5
65+, 3
65+, 1.5
65+, 3.5
65+, 2.2
65+, 1.8
65+, 2.5
65+, 3
65+, 2.7
