Week,New Memberships
Week 1,10
Week 2,12
Week 3,15
Week 4,11
Week 5,16
Week 6,20
Week 7,18
Week 8,14
Week 9,17
Week 10,19
Week 11,22
Week 12,24
Week 13,21
Week 14,23
Week 15,25
Week 16,27
Week 17,29
Week 18,31
Week 19,30
Week 20,20
Week 21,23
Week 22,26
Week 23,28
Week 24,32
Week 25,34
Week 26,25
Week 27,27
Week 28,30
Week 29,33
Week 30,35
Week 31,37
Week 32,29
Week 33,24
Week 34,26
Week 35,28
Week 36,30
Week 37,32
Week 38,34
Week 39,36
Week 40,38
Week 41,40
Week 42,35
Week 43,33
Week 44,31
Week 45,29
Week 46,27
Week 47,25
Week 48,23
Week 49,21
Week 50,22
Week 51,24
Week 52,26
