Date,GRA Purchases,PRGT 1/2/,Totals,Datum,World_GDP,Debt_to_GDP(%)
08/31/2022,93769635059.0,15254184552.0,109023819611.0,2022.0,,#DIV/0!
12/31/2021,89474552025.0,14554823681.0,104029375706.0,2021.0,96513100000000.0,0.107787855
12/31/2020,93408630285.0,12481816684.0,105890446969.0,2020.0,85105600000000.0,0.124422415
12/31/2019,66945509865.0,6590835450.0,73536345315.0,2019.0,87645300000000.0,0.083902254
12/31/2018,55395611392.0,6426181029.0,61821792421.0,2018.0,86456900000000.0,0.071505919
12/31/2017,39585385873.0,6522280669.0,46107666542.0,2017.0,81400700000000.0,0.056642859
12/31/2016,49267630851.0,6482647937.0,55750278788.0,2016.0,76461500000000.0,0.072912832
12/31/2015,50757840741.0,6575911158.0,57333751899.0,2015.0,75187800000000.0,0.07625402
12/31/2014,69041563463.0,6292755583.0,75334319046.0,2014.0,79733200000000.0,0.094483055
12/31/2013,83899249061.0,6174392682.0,90073641743.0,2013.0,77607200000000.0,0.116063534
12/31/2012,90042348252.0,5766292503.0,95808640755.0,2012.0,75501200000000.0,0.126896927
12/31/2011,87276915790.0,5308609594.0,92585525384.0,2011.0,73857600000000.0,0.12535672
12/31/2010,55620104510.0,4819344134.0,60439448644.0,2010.0,66605800000000.0,0.090742064
12/31/2009,37221142436.0,5079705286.0,42300847722.0,2009.0,60804100000000.0,0.069569109
12/31/2008,17514964723.0,3972372030.0,21487336753.0,2008.0,64120800000000.0,0.03351073
12/31/2007,6036146757.0,3796945581.0,9833092338.0,2007.0,58349500000000.0,0.01685206
12/31/2006,9822640239.0,3844020520.0,13666660759.0,2006.0,51780200000000.0,0.026393586
12/31/2005,28432143237.0,6282121668.0,34714264905.0,2005.0,47784400000000.0,0.072647635
12/31/2004,55373766674.0,6766029353.0,62139796027.0,2004.0,44124000000000.0,0.140829978
12/31/2003,65032062712.0,6880893268.0,71912955980.0,2003.0,39152300000000.0,0.183674831
12/31/2002,63601058794.0,6868671012.0,70469729806.0,2002.0,34918000000000.0,0.201815133
12/31/2001,53477225409.0,6424578684.0,59901804093.0,2001.0,33624000000000.0,0.178152143
12/31/2000,42990531049.0,6331595468.0,49322126517.0,2000.0,33839600000000.0,0.145752562
12/31/1999,51061861875.0,6434274362.0,57496136237.0,1999.0,32745500000000.0,0.17558493
12/31/1998,60451017051.0,6288825925.0,66739842976.0,1998.0,31546600000000.0,0.211559822
12/31/1997,46559033783.0,6009867422.0,52568901205.0,1997.0,31627800000000.0,0.166210928
12/31/1996,36127472805.0,5881609752.0,42009082557.0,1996.0,31741900000000.0,0.132346001
12/31/1995,35929173412.0,5657438528.0,41586611940.0,1995.0,31048500000000.0,0.133940891
12/31/1994,25611676952.0,4599768498.0,30211445450.0,1994.0,27876800000000.0,0.108374726
12/31/1993,25196745031.0,3942792899.0,29139537930.0,1993.0,25826300000000.0,0.112829098
12/31/1992,23967172718.0,3804463796.0,27771636514.0,1992.0,25410300000000.0,0.109292635
12/31/1991,23378573926.0,3285717796.0,26664291722.0,1991.0,23763600000000.0,0.112206658
12/31/1990,20731851093.0,2571911617.0,23303762710.0,1990.0,22783800000000.0,0.102282103
12/31/1989,22315104224.0,2334886562.0,24649990786.0,1989.0,20197500000000.0,0.122044958
12/31/1988,24750004884.0,1773964293.0,26523969177.0,1988.0,19341200000000.0,0.137136866
12/31/1987,28751979125.0,1866342930.0,30618322055.0,1987.0,17310300000000.0,0.176879659
12/31/1986,33334905644.0,2013169931.0,35348075575.0,1986.0,15207800000000.0,0.232434258
12/31/1985,35194787249.0,2470247948.0,37665035197.0,1985.0,12862200000000.0,0.292835946
12/31/1984,34936772393.0,2769874900.0,37706647293.0,1984.0,12271600000000.0,0.307266811
,,,,,,
,,,,,,
,,,,,,
