Date,California,Florida,Arizona,New York,Texas,Alabama,North Carolina,Illinois,Utah,Nevada,Kentucky,District of Columbia,Wisconsin,Connecticut,Pennsylvania,Alaska,Colorado,Missouri,Arizona.1,Washington,Louisiana,Georgia,New Mexico,Virginia,New Jersey,South Carolina,Oregon,Idaho,Ohio,Tennessee,Nebraska,Oklahoma,Indiana,Arkansas,Michigan,Massachusetts,Hawaii,Montana,Mississippi,New Hampshire,Maryland,Delaware,Vermont,Minnesota,Kansas,South Dakota,Maine,West Virginia,Wyoming,Iowa,Rhode Island,North Dakota,Year
01/01/1900,1490.0,530.0,124.0,7283.0,3055.0,1830.0,1897.0,4828.0,277.0,43.0,2148.0,278.0,2072.0,910.0,6313.0,.,543.0,3108.0,124.0,523.0,1384.0,2220.0,196.0,1858.0,1884.0,1342.0,415.0,163.0,4161.0,2023.0,1067.0,800.0,2518.0,1314.0,2423.0,2788.0,.,245.0,1553.0,412.0,1189.0,185.0,344.0,1754.0,1473.0,403.0,695.0,959.0,93.0,2231.0,430.0,321.0,1900
01/01/1901,1550.0,544.0,131.0,7449.0,3132.0,1907.0,1926.0,4914.0,284.0,45.0,2162.0,285.0,2109.0,931.0,6439.0,.,581.0,3128.0,131.0,583.0,1412.0,2263.0,206.0,1887.0,1889.0,1361.0,434.0,176.0,4216.0,2041.0,1078.0,916.0,2541.0,1341.0,2450.0,2794.0,.,261.0,1578.0,412.0,1200.0,187.0,347.0,1805.0,1490.0,418.0,699.0,972.0,100.0,2227.0,441.0,346.0,1901
01/01/1902,1623.0,565.0,138.0,7612.0,3210.0,1935.0,1956.0,4992.0,292.0,49.0,2177.0,290.0,2141.0,952.0,6567.0,.,621.0,3147.0,138.0,651.0,1440.0,2305.0,218.0,1894.0,1917.0,1379.0,454.0,199.0,4322.0,2060.0,1089.0,1027.0,2567.0,1360.0,2477.0,2856.0,.,270.0,1603.0,409.0,1210.0,188.0,349.0,1862.0,1505.0,431.0,703.0,1000.0,105.0,2222.0,450.0,371.0,1902
01/01/1903,1702.0,587.0,144.0,7771.0,3291.0,1957.0,1986.0,5071.0,299.0,52.0,2191.0,295.0,2171.0,972.0,6699.0,.,652.0,3166.0,144.0,719.0,1467.0,2346.0,229.0,1890.0,1969.0,1397.0,479.0,216.0,4386.0,2082.0,1104.0,1118.0,2594.0,1384.0,2505.0,2924.0,.,282.0,1628.0,394.0,1209.0,190.0,350.0,1901.0,1498.0,437.0,709.0,1037.0,108.0,2217.0,460.0,396.0,1903
01/01/1904,1792.0,599.0,151.0,7927.0,3374.0,1978.0,2017.0,5161.0,308.0,56.0,2205.0,302.0,2202.0,987.0,6833.0,.,659.0,3185.0,151.0,782.0,1495.0,2387.0,242.0,1889.0,2050.0,1415.0,504.0,229.0,4458.0,2086.0,1119.0,1200.0,2614.0,1419.0,2534.0,2969.0,.,293.0,1653.0,407.0,1217.0,192.0,353.0,1945.0,1527.0,452.0,719.0,1064.0,111.0,2212.0,471.0,421.0,1904
01/01/1905,1893.0,615.0,158.0,8084.0,3459.0,2012.0,2051.0,5241.0,316.0,59.0,2220.0,308.0,2231.0,1010.0,6970.0,.,680.0,3204.0,158.0,842.0,1523.0,2427.0,255.0,1917.0,2151.0,1433.0,530.0,246.0,4530.0,2111.0,1129.0,1277.0,2635.0,1447.0,2579.0,3018.0,.,305.0,1678.0,423.0,1237.0,194.0,354.0,1981.0,1555.0,461.0,723.0,1094.0,114.0,2211.0,481.0,446.0,1905
01/01/1906,1976.0,628.0,167.0,8289.0,3546.0,2045.0,2077.0,5309.0,327.0,64.0,2234.0,313.0,2250.0,1033.0,7110.0,.,707.0,3223.0,167.0,904.0,1551.0,2466.0,269.0,1942.0,2239.0,1451.0,555.0,262.0,4587.0,2136.0,1138.0,1349.0,2663.0,1465.0,2626.0,3107.0,.,322.0,1703.0,415.0,1251.0,196.0,355.0,1987.0,1576.0,477.0,729.0,1122.0,118.0,2214.0,492.0,474.0,1906
01/01/1907,2054.0,645.0,176.0,8499.0,3636.0,2058.0,2105.0,5384.0,339.0,68.0,2249.0,317.0,2268.0,1057.0,7253.0,.,733.0,3242.0,176.0,967.0,1579.0,2505.0,283.0,1952.0,2314.0,1468.0,580.0,277.0,4630.0,2136.0,1149.0,1414.0,2679.0,1484.0,2693.0,3183.0,.,332.0,1728.0,423.0,1257.0,197.0,355.0,1995.0,1612.0,498.0,731.0,1149.0,125.0,2217.0,505.0,501.0,1907
01/01/1908,2161.0,684.0,186.0,8714.0,3727.0,2070.0,2142.0,5474.0,351.0,73.0,2263.0,321.0,2292.0,1077.0,7398.0,.,757.0,3260.0,186.0,1028.0,1607.0,2543.0,298.0,1994.0,2403.0,1485.0,610.0,291.0,4677.0,2164.0,1161.0,1498.0,2677.0,1513.0,2722.0,3251.0,.,346.0,1753.0,428.0,1269.0,199.0,354.0,2020.0,1629.0,527.0,735.0,1174.0,133.0,2220.0,519.0,528.0,1908
01/01/1909,2282.0,724.0,196.0,8935.0,3821.0,2108.0,2174.0,5567.0,363.0,78.0,2278.0,327.0,2317.0,1097.0,7546.0,.,775.0,3279.0,196.0,1091.0,1634.0,2580.0,314.0,2038.0,2487.0,1502.0,643.0,311.0,4701.0,2177.0,1177.0,1585.0,2678.0,1545.0,2771.0,3316.0,.,363.0,1777.0,431.0,1289.0,201.0,356.0,2051.0,1658.0,553.0,740.0,1203.0,141.0,2223.0,532.0,555.0,1909
