year_month type,count,percent
2022_12,953,59.3%
2022_10,212,13.19%
2021_06,147,9.15%
2022_06,64,3.98%
2021_07,56,3.48%
2022_03,51,3.17%
2021_09,27,1.68%
2021_10,25,1.56%
2022_05,13,0.81%
2022_11,13,0.81%
2022_04,10,0.62%
2021_03,6,0.37%
2022_01,4,0.25%
2019_04,3,0.19%
2019_07,3,0.19%
2019_05,2,0.12%
2018_12,2,0.12%
2023_01,2,0.12%
2020_01,2,0.12%
2018_11,2,0.12%
2020_02,1,0.06%
2019_12,1,0.06%
2019_11,1,0.06%
2019_09,1,0.06%
2019_08,1,0.06%
2019_06,1,0.06%
2022_09,1,0.06%
2019_03,1,0.06%
2019_02,1,0.06%
2017_09,1,0.06%
