team,team_tournament,tournament,tupg
Virginia A,2014 Virginia A,ACF Nationals 2014,14.12
Michigan A,2016 Michigan A,ACF Nationals 2016,13.22
Stanford A,2010 Stanford A,ACF Nationals 2010,12.8
Chicago A,2016 Chicago A,ACF Nationals 2016,12.78
Chicago A,2007 Chicago A,ACF Nationals 2007,12.25
Chicago A,2005 Chicago A,ACF Nationals 2005,12.0
Michigan A,2005 Michigan A,ACF Nationals 2005,12.0
Yale A,2012 Yale A,ACF Nationals 2012,11.89
Maryland A,2017 Maryland A,ACF Nationals 2017,11.88
Yale A,2014 Yale A,ACF Nationals 2014,11.88
